config,horizon,naive_mae,naive_mse,model_mae,model_mse,rMAE,rMSE,n_samples,test_start,test_end
No Events_24to5_full,24→5,0.0015184253625644037,8.04489081746361e-06,0.0012378789251670241,6.386414952430641e-06,0.8152385725936659,0.7938473122055555,6383,2025-02-27 01:00:00-05:00,2026-03-31 19:00:00-04:00
Event Type Only_24to5_full,24→5,0.0015184253625644037,8.04489081746361e-06,0.001227419008500874,6.315910923149204e-06,0.8083499121932068,0.7850834854636948,6383,2025-02-27 01:00:00-05:00,2026-03-31 19:00:00-04:00
Event Timing Only_24to5_full,24→5,0.0015184253625644037,8.04489081746361e-06,0.001226636115461588,6.3033917285792995e-06,0.8078343168543857,0.7835273183442196,6383,2025-02-27 01:00:00-05:00,2026-03-31 19:00:00-04:00
No Events_50to10_full,50→10,0.0017616102246092189,9.924853566402892e-06,0.0013444144278764725,6.564428986166604e-06,0.7631736062242181,0.6614131827988046,6352,2025-02-27 01:00:00-05:00,2026-03-31 19:00:00-04:00
Event Type Only_50to10_full,50→10,0.0017616102246092189,9.924853566402892e-06,0.0013185064308345318,6.515979748655809e-06,0.7484666087965165,0.656531575509927,6352,2025-02-27 01:00:00-05:00,2026-03-31 19:00:00-04:00
Event Timing Only_50to10_full,50→10,0.0017616102246092189,9.924853566402892e-06,0.001367673510685563,6.627871243836125e-06,0.7763769144726419,0.6678054441299222,6352,2025-02-27 01:00:00-05:00,2026-03-31 19:00:00-04:00
