config,data_scenario,naive_mae,naive_mse,model_mae,model_mse,rmae,rmse,checkpoint_dir,ablation_name,train_mae_history,val_mae_history,train_mse_history,val_mse_history,train_range,val_range,test_range
"{'data_path': '/content/drive/MyDrive/equityBERT/vola-bert/data/processed/ES_1h.parquet', 'root_path': '/content/drive/MyDrive/equityBERT/vola-bert', 'events_df':                      datetime event_type impact
0   2019-01-04 08:30:00-05:00        NFP   NONE
1   2019-01-11 08:30:00-05:00        CPI   NONE
2   2019-01-15 08:30:00-05:00        PPI   NONE
3   2019-01-30 14:00:00-05:00       FOMC   NONE
4   2019-02-01 08:30:00-05:00        NFP   NONE
..                        ...        ...    ...
315 2026-02-27 08:30:00-05:00        PPI   NONE
316 2026-03-06 08:30:00-05:00        NFP   NONE
317 2026-03-11 08:30:00-04:00        CPI   NONE
318 2026-03-18 08:30:00-04:00        PPI   NONE
319 2026-03-18 14:00:00-04:00       FOMC   NONE

[320 rows x 3 columns], 'n_layer': 4, 'batch_size': 32, 'max_epochs': 150, 'lr': 0.0001, 'patience': 10, 'features': 'MS', 'lookback': 24, 'forecast': 5, 'name': 'No Events', 'use_events': False, 'use_event_type': False, 'use_event_impact': False}",full,0.9691959023475647,2.0921387672424316,0.38331684734247906,0.48717847895584526,0.3954998637674979,0.23286145574271666,runs/v25/No Events_24to5_full/checkpoints,No Events,"[0.6277279780952485, 0.5722896976621596, 0.5633763549747047, 0.5563725568763502, 0.551354991374435, 0.5482609138547719, 0.5447839628700372, 0.541201895901135, 0.5385455470327493, 0.5349883559968446, 0.5325932104017709, 0.5307828052030815, 0.5270131346616116, 0.5252968702506233, 0.5240106766040509, 0.5195531272789934, 0.5173182424444419, 0.5145489252530612, 0.5116713065039981, 0.5083885760261462, 0.5050630354128041, 0.501348284984028, 0.4978967806795141, 0.49743321718095423, 0.4962126593013386, 0.49409578560472844, 0.49426884941019855, 0.4908700924325775, 0.4902088891018878, 0.4892328879335424, 0.48768093764454457, 0.4860641141677951, 0.48439907069717136, 0.4814321217792375, 0.48140639549755787, 0.4792839015250678, 0.4782854605998312, 0.4774405844918974, 0.473278236585659, 0.47389659408357115, 0.47240787760896996, 0.4719061725414716, 0.4707833630043072, 0.46901313207306705, 0.46783497282764414, 0.46763791332205573, 0.46629056072497105, 0.4654342214484791, 0.4650818784977054, 0.46371418147624194, 0.46330154973727006, 0.46281726027910525, 0.462374766940599, 0.46147560901366746, 0.4612112451385666, 0.460979163646698, 0.4592297307246334, 0.45947656469358195, 0.45913789306695646, 0.45828256764254727, 0.45853459253743456, 0.456882206170441, 0.45758403485620414, 0.4565590331023866, 0.4563756217504596, 0.45498892730408974, 0.4549754044184318, 0.4547176550214107, 0.45566149268831524, 0.4548045488504263, 0.453549529169942, 0.45385358146913757, 0.45415353373839307, 0.45266325444310573, 0.4531706854864791, 0.4529437814931293, 0.4525121366912192, 0.45187148443617664, 0.4520340023132471, 0.45155660013903626, 0.45224942913749716, 0.45124094777709833, 0.4509701458634911, 0.450927513559441, 0.45100886415649244, 0.4505702407805474, 0.4506231699507315, 0.44983090341582405, 0.4495360724382348, 0.4499793907443246, 0.4496327033982827, 0.44892784863055407, 0.44836397100608427, 0.44885882014756673, 0.4485225878082789, 0.4485468450155887, 0.44860523435604444, 0.4481314110395673, 0.4478281578356093, 0.44814072721279585, 0.44824060511130553, 0.44740511734898275, 0.44609149750117416, 0.4466152772061772, 0.4468897408345243, 0.44660717969412334, 0.4469575337492503, 0.4461820049436538]","[0.3609883566445942, 0.34929167394396626, 0.3411839627012422, 0.3339314739915389, 0.32881703765331943, 0.3254566107746921, 0.32400822450843036, 0.32220888043506235, 0.32123459347441224, 0.3192886572472657, 0.3164574947161011, 0.31462930180603943, 0.3113867059538636, 0.3090023283339754, 0.3094457150260104, 0.30606301562695565, 0.3058613540628288, 0.30385440587997437, 0.3026956321695183, 0.3017024705304375, 0.2970966491140897, 0.298295156676558, 0.29523816931096813, 0.2948694251760652, 0.2945292416629912, 0.2929050477245186, 0.2931787073612213, 0.29248020863985713, 0.2915787872257112, 0.29197749193710615, 0.2905587902929209, 0.2901084970069837, 0.29045393270782277, 0.28833229311659364, 0.2891372991136358, 0.288501080267037, 0.28781745177281054, 0.28659500200537186, 0.2870707540195199, 0.2871640335909928, 0.28597625184662734, 0.2858800478751146, 0.2859393090386934, 0.28595893839492076, 0.285140397239335, 0.285501614967479, 0.2856071255629576, 0.2851961241869987, 0.2846020296027389, 0.2851594909082485, 0.28513593104066726, 0.2846893647426291, 0.2849384589663035, 0.2838555974296377, 0.28451593050473856, 0.2837042123833789, 0.2834408507694172, 0.2838081808029851, 0.28387229370919964, 0.28243570520153527, 0.28534801606136034, 0.28332299767415736, 0.28348554482188404, 0.2831463468602941, 0.28338469470603556, 0.28369340168524393, 0.2825896624900118, 0.28335848111140577, 0.2827058626881129, 0.2833352935842321, 0.2839686314139185, 0.2827644293444066, 0.2831700402724592, 0.2828745202550405, 0.28313966548141045, 0.28435534616059893, 0.28311025813410556, 0.28353882703600053, 0.28283238014842893, 0.2822065521267396, 0.28249826933009714, 0.28321537375450134, 0.28265623276746726, 0.28281078157545647, 0.28193058262142956, 0.2836941271265851, 0.2830526911759678, 0.28291532906550393, 0.28323125858095627, 0.28357595620276055, 0.2832200412131563, 0.28171831029879896, 0.2823728117384488, 0.2830934481153005, 0.2829204616667349, 0.2827747137863425, 0.28205792926534823, 0.28150813734229607, 0.2824978332353544, 0.2814612971453727, 0.2829310430001609, 0.2819860756774492, 0.2808297898950456, 0.2817986794287645, 0.2837441010942942, 0.28376018604900266, 0.2839810016411769, 0.2827223126269594]","[1.0366910895803472, 0.9549202714320068, 0.9368955397589521, 0.928489440130991, 0.9194328506978658, 0.9164149141819268, 0.9121911718131421, 0.9037164859064333, 0.9013079745428902, 0.8951816906804567, 0.8911901249417237, 0.8924253491664326, 0.8898585137839501, 0.8871763218808305, 0.8837498266372706, 0.8783331874062071, 0.8733484551801787, 0.8714473360924275, 0.8687023451285703, 0.8629407614960776, 0.8571608390781905, 0.856813411463748, 0.8533287612455231, 0.8508104086740986, 0.8534925518618836, 0.8490734859318524, 0.8521521518436762, 0.8459123150742316, 0.8453951726902972, 0.8450704261169328, 0.846385066653346, 0.8421509454211036, 0.8400947298895527, 0.8388266842607613, 0.8383652325514909, 0.8355276469591555, 0.8320134333693064, 0.8352743435528253, 0.8295433272781608, 0.832092982931779, 0.8297578948703441, 0.8289630695522486, 0.8302958581064429, 0.8261355813387986, 0.8256236352845208, 0.8264379445258733, 0.8240281946875236, 0.8239757778470987, 0.8239942805043289, 0.8226231029154835, 0.8203081996435975, 0.821018165816645, 0.8219843109721666, 0.8183162517354383, 0.8193863124719688, 0.8176747802440282, 0.8168376665357705, 0.8180718020750926, 0.8174137775223334, 0.8157155513763428, 0.8182898889203648, 0.8124731500929856, 0.8151731179965721, 0.8145591483993845, 0.8152633860789158, 0.8124386950672328, 0.8116644221347767, 0.8136009907575099, 0.8138901939267641, 0.8152744782331226, 0.8095754877469696, 0.8100721891969442, 0.8115547775894731, 0.8095488706296616, 0.8101517549091644, 0.8097764522983477, 0.8108575346951301, 0.8087288478982972, 0.8093469494155475, 0.8091156486380886, 0.8102704574364227, 0.8083490752666206, 0.8072457430004091, 0.8076323632887759, 0.8070499880218899, 0.8088572010152287, 0.8069155605120973, 0.8071108340889543, 0.8041054121945258, 0.8054208258310189, 0.8086905163395536, 0.8063754836854699, 0.8045772095671394, 0.8053084398609597, 0.8039386220849477, 0.8050750289317016, 0.8059329570649745, 0.8056684941217139, 0.8060919120089038, 0.802675541838283, 0.8064822893753484, 0.8009864827106287, 0.8008848873100111, 0.8005236949321333, 0.802508139245949, 0.8002934691465491, 0.8009472181508829, 0.8005410416850022]","[0.2457014314735992, 0.23221259394401236, 0.22444346358504477, 0.21800609989256797, 0.2135107378605046, 0.21048205647664733, 0.2086447601831412, 0.2067151328996767, 0.20480916050227382, 0.20373775178118597, 0.20148278183386295, 0.19908303201575822, 0.19755580974153325, 0.19554843234864971, 0.19541471998525572, 0.19297469119671024, 0.19198332387435285, 0.19114197021986865, 0.19016954415961157, 0.1886013293568092, 0.18709712857498398, 0.18643406887031808, 0.18553522012279003, 0.18510107356536237, 0.18446708692214156, 0.18427272357895405, 0.18416509763160838, 0.1836753493245644, 0.18321174920736988, 0.18283938729687582, 0.18266193233901942, 0.18261089095775085, 0.1819207650856881, 0.18208611464198632, 0.18144447545084771, 0.18145574091733258, 0.18091304623816587, 0.18062724432424654, 0.1803850217521945, 0.18028166786402086, 0.18019943311810493, 0.18003194873468786, 0.17964212200309657, 0.1800596271700497, 0.17972080815064756, 0.1794954282762129, 0.17919296620390082, 0.17918502025400537, 0.17923015285330482, 0.17893996881910518, 0.17890381185880191, 0.17872637486721896, 0.17855210762612428, 0.17857867281270934, 0.17813102311537235, 0.1782506864659394, 0.17833296351040465, 0.17816439002186438, 0.17829836636215826, 0.1783354550694363, 0.17781582889677602, 0.17791987281245522, 0.17791620712680153, 0.17790673187450518, 0.1777719262562975, 0.1776442783354204, 0.1775605101845687, 0.1777324993870681, 0.1772781919829453, 0.17718006170625927, 0.1772051379556143, 0.17730394420744497, 0.17709240590846992, 0.17711170046012611, 0.17715757519383973, 0.17699983725442162, 0.1769150346517563, 0.17694504950431328, 0.1771332977598981, 0.17688963458507875, 0.17691737408690814, 0.17685103567340707, 0.17677582390134847, 0.17666443409044533, 0.1767303590910344, 0.17673671556801734, 0.1767454998496967, 0.1763885889343823, 0.17642933172704298, 0.17663806271326693, 0.17660409589357015, 0.1765980395146563, 0.17641232841754262, 0.17648884253222732, 0.17632887375694287, 0.1763999672441543, 0.17630497418061086, 0.17613166424481175, 0.1762210710705081, 0.17618926048656053, 0.17628031917199305, 0.17632074074088772, 0.17635820565533034, 0.1763070919374122, 0.1764805015129379, 0.17651887964221497, 0.17667812896491605, 0.17635079195039183]",2019-01-03 → 2024-01-21,2024-01-23 → 2025-02-23,2025-02-25 → 2026-03-29
"{'data_path': '/content/drive/MyDrive/equityBERT/vola-bert/data/processed/ES_1h.parquet', 'root_path': '/content/drive/MyDrive/equityBERT/vola-bert', 'events_df':                      datetime event_type impact
0   2019-01-04 08:30:00-05:00        NFP   NONE
1   2019-01-11 08:30:00-05:00        CPI   NONE
2   2019-01-15 08:30:00-05:00        PPI   NONE
3   2019-01-30 14:00:00-05:00       FOMC   NONE
4   2019-02-01 08:30:00-05:00        NFP   NONE
..                        ...        ...    ...
315 2026-02-27 08:30:00-05:00        PPI   NONE
316 2026-03-06 08:30:00-05:00        NFP   NONE
317 2026-03-11 08:30:00-04:00        CPI   NONE
318 2026-03-18 08:30:00-04:00        PPI   NONE
319 2026-03-18 14:00:00-04:00       FOMC   NONE

[320 rows x 3 columns], 'n_layer': 4, 'batch_size': 32, 'max_epochs': 150, 'lr': 0.0001, 'patience': 10, 'features': 'MS', 'lookback': 24, 'forecast': 5, 'name': 'Event Type Only', 'use_events': True, 'use_event_type': True, 'use_event_impact': False}",full,0.9691959023475647,2.0921387672424316,0.3812378335602676,0.4779443635687798,0.3933547723807352,0.2284477354237549,runs/v25/Event Type Only_24to5_full/checkpoints,Event Type Only,"[0.6741536749260766, 0.6184955204908664, 0.6045660798202505, 0.5957631592403402, 0.5897740362273468, 0.5807937505644757, 0.5774433928859103, 0.5758148136210965, 0.5704891687402358, 0.5679352851686897, 0.5656766529594149, 0.5625711104699543, 0.5577758380344936, 0.5533162569934196, 0.5430215052687205, 0.5395168269892315, 0.5332993245223067, 0.5204145845312339, 0.5112327485457882, 0.5087532524715414, 0.5043424675752829, 0.5011176925439101, 0.49807368300773286, 0.4962449795105955, 0.4926410353445745, 0.4901430759128633, 0.4882756199810531, 0.4886194277595688, 0.486018320443211, 0.48705999905263986, 0.4851202810858632, 0.48280527344444296, 0.4812423817731522, 0.478090800508693, 0.477328465289467, 0.477125947701407, 0.47744952592548434, 0.47454997193027326, 0.4720045212697197, 0.4712881057799517, 0.47044050447888425, 0.46940537230981577, 0.46902669958033405, 0.4686573205085901, 0.46671011650955285, 0.4671245846119556, 0.46579965777122057, 0.46459170357211604, 0.46415418427396604, 0.46414858667732595, 0.46326323033689143, 0.46263216943531243, 0.4607983194700964, 0.461730420425698, 0.4598834487599331, 0.4607680054320084, 0.4598310717514583, 0.4589939046200815, 0.4598709436563345, 0.45838489760081846, 0.457785254078252, 0.45681172822202953, 0.4557967768920647, 0.4563484475180343, 0.4555563163626325, 0.4548846416912236, 0.4556618739779179, 0.45471971817724, 0.4547545230323142, 0.45406185966599116, 0.45390046666284184, 0.4526934110365071, 0.45223661143701155, 0.4526311552131569, 0.45240377814887645, 0.45187699500021045, 0.45173281873320487, 0.45162033052234857, 0.45111681283502786, 0.4503813418713245, 0.4505123289731833, 0.44989023775189785, 0.4495126978791022, 0.45000114774965977, 0.4503347485602557, 0.4489520392738856, 0.44970376265572976, 0.44934523793367237, 0.44855946941035135, 0.44804668033516015, 0.44842793407675985, 0.44865567278076, 0.44785214366984893, 0.44784769080169906, 0.4480879235562387, 0.44769710048541916, 0.44774146721913266, 0.44731367174740677, 0.44685773919899385, 0.4469463317603855, 0.44674574084334323, 0.4461573842135105, 0.44599264074157885, 0.44555386213155895, 0.44570966687176256, 0.4454124465093508, 0.4461076077032875, 0.4452296566668448, 0.44505209582192556, 0.44550170143554496, 0.4444412892008876, 0.4455391100229143, 0.4445851599940887, 0.4444355447213728, 0.4447866217693785, 0.4441620081171885, 0.44472540595701765, 0.4436897989976537, 0.4433984939459261, 0.4433913328326665, 0.44327736469906764, 0.44354562608750314, 0.4438350942845528, 0.44376144435379533, 0.4431816281771267, 0.4434488345305998, 0.4427855474117038, 0.4424466962342734, 0.442186003776042, 0.4422143314565931, 0.44119418355134815, 0.4421233701018187, 0.4421536059497477, 0.4415608538867353, 0.4417492215531868]","[0.3802546145795267, 0.3594667385273342, 0.34639663126649733, 0.33937382339676725, 0.33384068819540963, 0.3296041892299169, 0.32662573041795173, 0.3247759687372401, 0.323771414123004, 0.3205045786085008, 0.3190790643043156, 0.31617621775669386, 0.313049284906327, 0.3104888198873665, 0.3066778878999662, 0.30631067915053306, 0.30612714135948615, 0.2982323375306552, 0.2975058615962161, 0.29463881857787505, 0.29191936892044695, 0.29155260758309426, 0.29042230565336685, 0.29060890421837193, 0.28810371552841574, 0.2878556508052198, 0.2872816454383391, 0.2873265809273418, 0.28682938369014593, 0.2854890689442429, 0.2865006289904631, 0.2854359774272653, 0.2859986250913596, 0.2843836219627646, 0.28409021772161314, 0.28490353366242177, 0.28309019136277935, 0.2824268105286586, 0.28318932765646826, 0.2824403238070162, 0.28209543379047247, 0.2824713887670372, 0.2824091113443616, 0.2811207190344605, 0.28071781370458726, 0.2810467243949069, 0.2805470707295816, 0.2802700253227089, 0.2814123330614235, 0.28036448755596255, 0.2797466371255585, 0.28006393754784065, 0.27971319137494777, 0.2792331097246725, 0.27861708987362777, 0.2788929807234414, 0.2796345645491081, 0.2786431659626055, 0.2792815683008749, 0.2784073937542831, 0.27952572420428073, 0.2786368961575665, 0.27884095888349075, 0.27904199233537985, 0.2780150041172776, 0.27737516145917435, 0.27807227871086027, 0.2780031248738494, 0.27714454467538036, 0.27839885086198396, 0.2785861363893823, 0.2787461446810372, 0.27775588612767715, 0.2769439326056951, 0.277019757824608, 0.27703454581242576, 0.27672893374781066, 0.2763800653098505, 0.27860702536528625, 0.2777424188731592, 0.27645117610315734, 0.2774522838336003, 0.27646125871923904, 0.2779210198529159, 0.2770111123217812, 0.2769703063406522, 0.2777561698156067, 0.2773083308829537, 0.27685402296011963, 0.27728712407848505, 0.27674711410757863, 0.2756935103407389, 0.2767719839569889, 0.2774619047023073, 0.276900329921819, 0.27788514879685416, 0.2768384278575076, 0.27530668939970715, 0.27780595421791077, 0.2787972662267806, 0.27810220986227446, 0.2772815223736099, 0.276430284297919, 0.2770399736075462, 0.2761712102573129, 0.27769688809219795, 0.2767251218798794, 0.2775033912326716, 0.27684783294231075, 0.2772252420081368, 0.27756746924376186, 0.27686002812808075, 0.277658902580225, 0.27728584050377714, 0.27722761299036724, 0.27748655839056907, 0.2769251599719253, 0.27650157824347293, 0.27734061849268177, 0.27789275876328917, 0.27901472264452826, 0.2774000182936463, 0.27864529399932186, 0.2754266133791284, 0.27644543293156204, 0.2772780213552185, 0.2762478118455863, 0.27955949910079375, 0.27816612697854826, 0.2767631249337257, 0.27651664067672777, 0.27679967465279975, 0.27701480648940124, 0.27854347908044164, 0.27662569322163544]","[1.1503105100530844, 1.019009533082391, 0.9949616674374748, 0.978388256915323, 0.9694547990521232, 0.9566467285647497, 0.9507322046127948, 0.9494028312491847, 0.9384921562376913, 0.937583792586248, 0.9367553134049688, 0.9288279952092485, 0.9225130705469913, 0.9193306625462495, 0.9009368596496162, 0.8956241978148183, 0.8944600410350076, 0.8759560308695494, 0.8657884921182643, 0.8642495435427179, 0.8597334825157464, 0.8558244276587125, 0.8552468064558375, 0.8533607903090152, 0.8449034166860057, 0.8449900313229352, 0.8446692896413279, 0.8449561262687484, 0.84205281325094, 0.8454988315947108, 0.8424690927041101, 0.8365450482201445, 0.8372052043758251, 0.8326316146323314, 0.8350383031826752, 0.8360537174311313, 0.8354624888481019, 0.8314999953567327, 0.8292280755282103, 0.8290693035738154, 0.8285386811655301, 0.8274389862359225, 0.825894321202413, 0.8295895508848704, 0.8232232364160674, 0.8249119081339993, 0.8230933499737427, 0.8204533950231232, 0.8227493593489731, 0.8203476615413859, 0.8188346514253171, 0.8191310577094555, 0.8182419098422422, 0.8198943568373119, 0.8182792062205928, 0.8191569937126977, 0.8172857357741712, 0.8148584759251757, 0.8173158321488689, 0.810758995199269, 0.813916474785451, 0.815982848405838, 0.8140537662042694, 0.8118184319400525, 0.8111837696243118, 0.813486919666712, 0.8167322906409646, 0.8121996736051617, 0.8105455648440582, 0.8131755170422595, 0.8100412510089822, 0.8092223221415674, 0.808498215749041, 0.8075349638340893, 0.8071674004524618, 0.808092326089576, 0.806863796620906, 0.8093773215845391, 0.8068643920737636, 0.8086655462918045, 0.8074412830378656, 0.8052139026778085, 0.8030008936075719, 0.8057553651896152, 0.8061521032436209, 0.8051029078989893, 0.8080569255974267, 0.8029835654811545, 0.805009452523766, 0.8039965681567952, 0.8016835532181865, 0.8043610751628876, 0.8042495900580844, 0.8048037045768329, 0.8049945247124185, 0.8028753332711838, 0.8029951067375285, 0.8006290576656113, 0.8033801026151075, 0.8035396603191947, 0.8012887833046389, 0.8006971024877423, 0.8010739808144806, 0.800854832220536, 0.8027807366676055, 0.8007690408727625, 0.7993808350229001, 0.8004837727563067, 0.8004500319833284, 0.800739973292246, 0.7969702013491929, 0.8009344636575206, 0.7980912970071965, 0.7972289974095075, 0.7973740446371037, 0.7961792278584543, 0.797736990193908, 0.7971355651843024, 0.7953363583719992, 0.7973863473673771, 0.7966203267921458, 0.7966107774607756, 0.800989822945097, 0.7973334237851284, 0.7959483234559769, 0.7978648126616583, 0.7985955627819339, 0.7946265331254556, 0.793381655813901, 0.79798935218663, 0.7941017560660839, 0.7953373156487942, 0.7963476822926447, 0.7932982721089662, 0.7931585864133233]","[0.2680020040914982, 0.24185257461629336, 0.22849411168430425, 0.22023532511312752, 0.2142875876419152, 0.21034602622819853, 0.20739667532564718, 0.2052292332430429, 0.20360248564164848, 0.20113292270446126, 0.1995169998535627, 0.1968274464524245, 0.1948961144006705, 0.19181689266351204, 0.19022001670319824, 0.18972127719581883, 0.19069462019620062, 0.18532883144820791, 0.18399411887873576, 0.18296967908928666, 0.18211652069718023, 0.18125098580612412, 0.1810644593419908, 0.18029092327703403, 0.17989216150739526, 0.17971629352320598, 0.17977973276489898, 0.17947381513216829, 0.1790794484505925, 0.179080752962375, 0.1790551532389997, 0.1792741518326198, 0.17874131639358365, 0.17887525194430653, 0.1785190462405923, 0.1781048504046247, 0.17806109800180303, 0.17840595326468914, 0.17813064162678358, 0.17762035296498974, 0.1768950932199442, 0.17615352302223822, 0.17638995946396754, 0.1765982935888858, 0.17607164958232566, 0.17581360570237606, 0.1757948244391363, 0.17540903903449637, 0.1753608998429926, 0.17515081723656836, 0.1748348124608209, 0.17502569779753685, 0.17491567177297193, 0.17425462961951388, 0.17426455336846883, 0.17386961115311972, 0.1739976432976089, 0.17359043455010728, 0.1737136674832694, 0.17380671273869805, 0.17349488538088678, 0.1734654659145995, 0.1732063456615315, 0.17300572392495372, 0.17296960242564166, 0.1732232218867616, 0.17262781930120685, 0.17257885469854634, 0.17280496477703505, 0.17247718129354186, 0.17222091013306304, 0.1722525446852551, 0.17208272430904303, 0.17228278800656524, 0.1717964080221291, 0.17178675914301147, 0.17178893259054498, 0.17162673467699485, 0.17157071951446654, 0.17174535980330238, 0.17128750828059414, 0.17118485488846333, 0.1715073156394536, 0.1711986824587176, 0.1711260075621967, 0.17117095781089384, 0.17107981999840918, 0.1710076991798757, 0.17101063253947452, 0.17100528877558588, 0.1709952262477784, 0.1708325036341631, 0.17079270343425906, 0.17089115238831012, 0.17079860622747034, 0.17084237786976597, 0.17058996002696739, 0.17070763850513893, 0.17126320571273188, 0.1708051534015921, 0.170505795674988, 0.17045483681597287, 0.1703869888111006, 0.17039740123326266, 0.17026920461013348, 0.17022033342266385, 0.1704277776276009, 0.17046854824204988, 0.17038097392909135, 0.1701688116204135, 0.17024648887447164, 0.170158200720443, 0.17031554915482486, 0.17026471450359007, 0.1702366326522978, 0.16997974497985235, 0.17012109659329244, 0.17002370354684093, 0.17017699113186402, 0.17021333883646167, 0.17034971949797642, 0.17010723676862596, 0.17025314969352529, 0.16998830013260058, 0.16976529298515258, 0.16984076057619688, 0.1697888096582286, 0.17031222364947765, 0.170320676097387, 0.17001954211464412, 0.16987306256837484, 0.16979354879335512, 0.16991630969922752, 0.17024838617896731, 0.16996349186836918]",2019-01-03 → 2024-01-21,2024-01-23 → 2025-02-23,2025-02-25 → 2026-03-29
